"Fk","Vip","Nmotors","Lip","Llap","LkMt",,"Lip acf","Lip delta L","Llap acf","Llap delta L","Nmotors acf","Nmotors delta N"
-0.0000000002816,-0.00000000872083333333334,40,0.0000015,0.0000008,0.0000112,,0.000000164200160521328,0.000000164200160521328,-0.000000164200160521328,0.000000164200160521328,-9.39360639360639,9.39360639360639
-0.000000000271204266666667,-0.00000000383305114638446,42,0.00000149127916666667,0.000000808720833333333,0.000011533,,0.000000172920993854661,0.000000172920993854661,-0.000000172920993854661,0.000000172920993854661,-11.3936063936064,11.3936063936064
-0.000000000259130459428219,-0.00000000687176865841046,38,0.00000148744611552028,0.000000812553884479718,0.000011413,,0.000000176754045001045,0.000000176754045001045,-0.000000176754045001046,0.000000176754045001046,-7.39360639360639,7.39360639360639
-0.000000000259582021268233,0.000000000841492591600797,44,0.00000148057434686187,0.000000819425653138128,0.000011267,,0.000000183625813659456,0.000000183625813659456,-0.000000183625813659456,0.000000183625813659456,-13.3936063936064,13.3936063936064
-0.000000000219876241693736,-0.000000000903509268248084,36,0.00000148141583945347,0.000000818584160546528,0.000011273,,0.000000182784321067855,0.000000182784321067855,-0.000000182784321067855,0.000000182784321067855,-5.39360639360639,5.39360639360639
-0.000000000221921469604931,0.00000000378990025209127,40,0.00000148051233018522,0.000000819487669814776,0.000011119,,0.000000183687830336103,0.000000183687830336103,-0.000000183687830336104,0.000000183687830336104,-9.39360639360639,9.39360639360639
-0.000000000236010484118744,0.00000000728384967512629,46,0.00000148430223043732,0.000000815697769562684,0.000011125,,0.000000179897930084012,0.000000179897930084012,-0.000000179897930084012,0.000000179897930084012,-15.3936063936064,15.3936063936064
-0.000000000229557093181617,-0.00000000316000918102899,36,0.00000149158608011244,0.000000808413919887558,0.000010904,,0.000000172614080408886,0.000000172614080408886,-0.000000172614080408886,0.000000172614080408886,-5.39360639360639,5.39360639360639
-0.00000000019047651559542,0.0000000131620276748607,43,0.00000148842607093141,0.000000811573929068587,0.000010826,,0.000000175774089589915,0.000000175774089589915,-0.000000175774089589915,0.000000175774089589915,-12.3936063936064,12.3936063936064
-0.000000000206861144263638,0.0000000058360732393831,39,0.00000150158809860627,0.000000798411901393727,0.000010832,,0.000000162612061915054,0.000000162612061915054,-0.000000162612061915054,0.000000162612061915054,-8.39360639360639,8.39360639360639
-0.00000000018420523296153,0.00000000618547985106162,35,0.00000150742417184566,0.000000792575828154343,0.000010737,,0.000000156775988675671,0.000000156775988675671,-0.000000156775988675671,0.000000156775988675671,-4.39360639360639,4.39360639360639
-0.000000000171742981424303,0.0000000168136652848337,43,0.00000151360965169672,0.000000786390348303282,0.000010785,,0.000000150590508824609,0.000000150590508824609,-0.00000015059050882461,0.00000015059050882461,-12.3936063936064,12.3936063936064
-0.000000000177402753543061,0.0000000131225998431864,40,0.00000153042331698155,0.000000769576683018448,0.000010698,,0.000000133776843539776,0.000000133776843539776,-0.000000133776843539776,0.000000133776843539776,-9.39360639360639,9.39360639360639
-0.000000000183261009771041,0.00000000229355822659459,32,0.00000154354591682474,0.000000756454083175262,0.000010561,,0.000000120654243696589,0.000000120654243696589,-0.00000012065424369659,0.00000012065424369659,-1.39360639360639,1.39360639360639
-0.000000000172545328794004,0.0000000112136991868966,37,0.00000154583947505133,0.000000754160524948667,0.000010415,,0.000000118360685469995,0.000000118360685469995,-0.000000118360685469995,0.000000118360685469995,-6.39360639360639,6.39360639360639
-0.000000000173023385932189,0.00000000498043460031662,32,0.00000155705317423823,0.000000742946825761771,0.000010564,,0.000000107146986283098,0.000000107146986283098,-0.000000107146986283098,0.000000107146986283098,-1.39360639360639,1.39360639360639
-0.000000000185560074673157,0.00000000709521150397424,36,0.00000156203360883855,0.000000737966391161454,0.000010696,,0.000000102166551682782,0.000000102166551682782,-0.000000102166551682782,0.000000102166551682782,-5.39360639360639,5.39360639360639
-0.000000000200634942703665,0.00000000717498629674091,39,0.00000156912882034252,0.00000073087117965748,0.000010677,,0.0000000950713401788073,0.0000000950713401788073,-0.0000000950713401788077,0.0000000950713401788077,-8.39360639360639,8.39360639360639
-0.000000000202149770748356,0.00000000322833597204273,36,0.00000157630380663926,0.000000723696193360739,0.000010658,,0.0000000878963538820665,0.0000000878963538820665,-0.0000000878963538820668,0.0000000878963538820668,-5.39360639360639,5.39360639360639
-0.000000000204706077643327,-0.00000000691998933991326,30,0.0000015795321426113,0.000000720467857388696,0.000010546,,0.0000000846680179100238,0.0000000846680179100238,-0.0000000846680179100241,0.0000000846680179100241,0.606393606393606,0.606393606393606
-0.000000000213581540174163,-0.0000000056641005095766,32,0.00000157261215327139,0.00000072738784672861,0.000010619,,0.0000000915880072499371,0.0000000915880072499371,-0.0000000915880072499374,0.0000000915880072499374,-1.39360639360639,1.39360639360639
-0.000000000209676274527043,-0.0000000103401806372971,29,0.00000156694805276181,0.000000733051947238186,0.000010709,,0.0000000972521077595136,0.0000000972521077595136,-0.0000000972521077595139,0.0000000972521077595139,1.60639360639361,1.60639360639361
-0.000000000202255550557247,0.00000000568285544312855,38,0.00000155660787212452,0.000000743392127875483,0.000010917,,0.000000107592288396811,0.000000107592288396811,-0.000000107592288396811,0.000000107592288396811,-7.39360639360639,7.39360639360639
-0.000000000199784618167461,0.00000000735784427420096,39,0.00000156229072756765,0.000000737709272432354,0.000011116,,0.000000101909432953682,0.000000101909432953682,-0.000000101909432953682,0.000000101909432953682,-8.39360639360639,8.39360639360639
